,Entries,Pronunciations,Generated Pron,Tones,Generated Tones,Absolutives,Generated Abs,Grammatical Info,Gloss
1674,*dihlasʼma,dihlásʼmaw,dihlásʼmaw,,3,dihlasʼmaw,dihlasʼmaw,Verb,"wilt from disease, bugs, etc."
1675,*dihle·m,dihlemʔ´,dihlemʔ´,,3,dihlemʔ,dihlemʔ,Verb,flop back and forth
1676,*dihlokʼdihlokʼ,dihlókʼdihloʔ,dihlókʼdihloʔ,,3,dihlokʼdihloʔ,dihlokʼdihloʔ,Reduplicating Verb,flop back and forth
1677,*dihlo·m,dihlomʔ´,dihlomʔ´,,3,dihlomʔ,dihlomʔ,Verb,compress with weight
1678,*dihpitʼci,dihpítʼ,dihpítʼciw,,2,dihpitʼ,dihpitʼciw,,
1679,*dihpo,dihpów,dihpów,,3,dihpow,dihpow,Verb,overflow by dropping something
1680,*dihpʰa,dihpʰáw,dihpʰáw,,3,dihpʰaw,dihpʰaw,Verb,flop down
1681,*dihpʰa·šma,dihpʰašmáw,dihpʰašmáw,,3,dihpʰaš,dihpʰašmaw,Verb,fall and tear
1682,*dihpʰitʼpʰitʼiwa·d,dihpʰítʼpʰitʼiwa·du,dihpʰítʼpʰitʼiwa·du,,3,dihpʰitʼpʰitʼiwa·du,dihpʰitʼpʰitʼiwa·du,,
1683,*dihpʰoṭ,dihpʰóʔ,dihpʰóʔ,,3,dihpʰoʔ,dihpʰoʔ,Verb,make particles fall off by gravity
1684,*dihpʰukʼut,dihpʰukʼúʔ,dihpʰukʼúʔ,,3,dihpʰukʼuʔ,dihpʰukʼuʔ,Verb,sink into something soft
1685,*dihpʰuṭay,dihpʰuṭáyʔ,dihpʰuṭáyʔ,,3,dihpʰuṭayʔ,dihpʰuṭayʔ,Verb,be unable to get up
1686,*dihpʰuṭʼ,dihpʰúʔ,dihpʰúʔ,,3,dihpʰuʔ,dihpʰuʔ,Verb,lose control
1687,*dihpʰuy,dihpʰúyʔ,dihpʰúyʔ,,3,dihpʰuyʔ,dihpʰuyʔ,Verb,fall into
1688,*dihpʰu·,,dihpʰuw´,,3,,dihpʰuw,Verb,drop self into something yielding
1689,*dihqa,dihqáw,dihqáw,,3,dihqaw,dihqaw,Verb,get inured to falling down
1690,*dihqoṭol,dihqóṭolʔ,dihqoṭólʔ,,2,dihqoṭolʔ,dihqoṭolʔ,Verb,drop and fail to break
1691,*dihqʰadihqʰa,dihqʰadíhqʰaw,dihqʰadíhqʰaw,,3,dihqʰadihqʰaw,dihqʰadihqʰaw,Reduplicating Verb,barely able to run
1692,*dihqʰalh,dihqʰálʔ,dihqʰálʔ,,3,dihqʰalʔ,dihqʰalʔ,Verb,brush against by falling
1693,*dihqʰaṭ,dihqʰáʔ,dihqʰáʔ,,3,dihqʰaʔ,dihqʰaʔ,Verb,fall and rip open
1694,*dihqʰaṭ,dihqʰáʔ,dihqʰáʔ,,3,dihqʰaʔ,dihqʰaʔ,Verb,be satisfied
1695,*dihqʰayad,dihqʰayá·du,dihqʰayá·du,,3,dihqʰaya·du,dihqʰaya·du,Verb,slide by gravity
1696,dihsa,dihsa´,dihsa´,,3,dihsa,dihsa,Noun,bounce
1697,*dihsam,dihsámʔ,dihsámʔ,,3,dihsamʔ,dihsamʔ,Verb of Movement,gather together
1698,*dihsetʼ,dihséʔ,dihséʔ,,3,dihseʔ,dihseʔ,Verb,many to project hanging down
1699,*dihsey,dihséyʔ,dihséyʔ,,3,dihseyʔ,dihseyʔ,Verb,fall and cover
1700,*dihsihsi,dihsíhsiw,dihsíhsiw,,3,dihsiw,dihsihsiw,Verb,drop and shatter
1701,*dihsikʼit,dihsikʼíʔ,dihsikʼíʔ,,3,dihsikʼiʔ,dihsikʼiʔ,Verb,fall and bounce through air
1702,*dihsimqa,dihsímqaw,dihsímqaw,,3,dihsimʔ,dihsimqaw,Verb,extinguish by covering
1703,*dihsit,dihsíʔ,dihsíʔ,,3,dihsiʔ,dihsiʔ,Verb,drop and split
1704,*dihsom,dihsómʔ,dihsómʔ,,3,dihsomʔ,dihsomʔ,Verb,mess up by gravity
1705,*dihsoṭ,dihsóʔ,dihsóʔ,,3,dihsoʔ,dihsoʔ,Verb,be springy to gravity
1706,*dihšukʼuṭ,dihšukʼúʔ,dihšukʼúʔ,,3,dihšukʼuʔ,dihšukʼuʔ,Verb,fall and sink into
1707,*dihtad,díhtadu,dihtadú,,1,dihtadu,dihtadu,Verb of Handling,barely touch
1708,*dihtedihte,dihtedíhtew,dihtedíhtew,,3,dihtedihtew,dihtedihtew,Reduplicating Verb,arrange by gravity
1709,*dihtehte,dihtéhtew,dihtéhtew,,3,dihtehtew,dihtehtew,Reduplicating Verb,arrange
1710,*dihtenh,dihténʔ,dihténʔ,,3,dihtenʔ,dihtenʔ,Verb,lie close together
1711,*dihtey,dihtéyʔ,dihtéyʔ,,3,dihteyʔ,dihteyʔ,Verb,hold (sev. nonlong)
1712,*dihtimac,díhtimaʔ,dihtimáʔ,,1,dihtimaʔ,dihtimaʔ,Verb of Handling,get fat
1713,*dihtʰunh,dihtʰúnʔ,dihtʰúnʔ,,3,dihtʰunʔ,dihtʰunʔ,Verb,open
1714,*dihṭʰe,dihṭʰe´,dihṭʰéw,,3,dihṭʰe,dihṭʰew,Adjective,spread out on
1715,*dihṭʰeyʔmad,dihṭʰéyʔmadu,dihṭʰéyʔmadu,,3,dihṭʰeyʔmadu,dihṭʰeyʔmadu,Verb,pieces fall off of bigger object
1716,*dihwatʼ,dihwáʔ,dihwáʔ,,3,dihwaʔ,dihwaʔ,Verb,fat shake
1717,*dihye·,dihyew´,dihyew´,,3,dihyew,dihyew,Verb,stop falling
1718,*dihyol,dihyólʔ,dihyólʔ,,3,dihyolʔ,dihyolʔ,Verb,stir
1719,*dihyo·c,dihyoʔ´,dihyoʔ´,,3,dihyoʔ,dihyoʔ,Verb,project neck of horse
1720,*dika·n,dikanʔ´,dikanʔ´,,3,dikanʔ,dikanʔ,Verb,project
1721,*dika·š,dikaš´,dikaš´,,3,dikaš,dikaš,Verb,falling object project
1722,*dika·šma,dikašmáw,dikašmáw,,3,dikašmaw,dikašmaw,Verb,hang in bunch
1723,*dikʼahci,diʔkʼáhciw,dikʼáhciw,,2,diʔkʼahciw,dikʼahciw,,
1724,*dikʼahli,dikʼáhliw,dikʼáhliw,,3,dikʼahliw,dikʼahliw,,
1725,*dikʼahni,dikʼáhniw,dikʼáhniw,,3,dikʼahniw,dikʼahniw,,
1726,*dikʼahni,dikʼáhniw,dikʼáhniw,,3,dikʼahniw,dikʼahniw,,
1727,*dikʼahnim,dikʼáhnimʔ,dikʼáhnimʔ,,3,dikʼahnimʔ,dikʼahnimʔ,,
1728,*dikʼal,dikʼálʔ,dikʼálʔ,,3,dikʼalʔ,dikʼalʔ,Verb,tilt
1729,*dikʼa·nci,dikʼancíw,dikʼancíw,,3,dikʼanciw,dikʼanciw,Verb,feel pain from pressure moving down
1730,*dikʼe·nci,dikʼencíw,dikʼencíw,,3,dikʼenciw,dikʼenciw,Verb,be depressed
1731,*dikʼihsi,dikʼíhsiw,dikʼíhsiw,,3,dikʼihsiw,dikʼihsiw,,
1732,*dikʼil,dikʼílʔ,dikʼílʔ,,3,dikʼilʔ,dikʼilʔ,Verb,motion with eye
1733,*dikʼis,dikʼís,dikʼís,,3,dikʼis,dikʼis,Verb,mark by gravity
1734,*dikʼišdikʼi·š,dikʼíšdikʼiš,dikʼíšdikʼiš,,3,dikʼišdikʼiš,dikʼišdikʼiš,Reduplicating Verb,roll eyes to side
1735,*dikʼohli,dikʼóhliw,dikʼóhliw,,3,dikʼohliw,dikʼohliw,,
1736,*dikʼohyibic,dikʼóhyibiʔ,dikʼóhyibiʔ,,3,dikʼohyibiʔ,dikʼohyibiʔ,,
1737,*dikʼola·tad,dikʼolá·tadu,dikʼolá·tadu,,3,dikʼola·tadu,dikʼola·tadu,,
1738,*dikʼot,dikʼóʔ,dikʼóʔ,,3,dikʼoʔ,dikʼoʔ,,
1739,*dikʼo·l,dikʼolʔ´,dikʼolʔ´,,3,dikʼolʔ,dikʼolʔ,Verb,dig hole by gravity
1740,*dikʼo·yibic,dikʼoyi·bíʔ,dikʼoyi·bíʔ,,4,dikʼoyi·biʔ,dikʼoyi·biʔ,Verb,tip on side by self
1741,*dikʼut,dikʼúʔ,dikʼúʔ,,3,dikʼuʔ,dikʼuʔ,,
1742,*dila,diláw,diláw,,0,dilaw,dilaw,Verb of Handling,dirty something by dropping something on something clean
1743,*diluhlu,dilúhluw,dilúhluw,,3,diluhluw,diluhluw,,
1744,*dilut,dilúʔ,dilúʔ,,3,diluʔ,diluʔ,,
1745,*dim,dímʔ,dímʔ,,0,dimʔ,dimʔ,Verb of Handling,put shapeless substance with gravity
1746,*dimac,dimáʔ,dimáʔ,,0,dimaʔ,dimaʔ,Verb of Handling,take and hold (nonlong)
1747,dimo,dimo´,dimo´,,3,dimo,dimo,Noun,shave
1748,*diqʼoš,diqʼóš,diqʼóš,,3,diqʼoš,diqʼoš,Verb,fall across each other
1749,*disʼayʔṭa,disʼáyʔṭaw,disʼáyʔṭaw,,3,disʼayʔṭaw,disʼayʔṭaw,,
1750,*disʼa·,disʼaw´,disʼaw´,,3,disʼaw,disʼaw,Verb,drop and break
1751,*disʼa·l,disʼalʔ´,disʼalʔ´,,3,disʼalʔ,disʼalʔ,Verb,get liquid from solid
1752,*disʼe·kʼ,disʼeʔ´,disʼeʔ´,,3,disʼeʔ,disʼeʔ,Verb,body bend
1753,*disʼi,disʼíw,disʼíw,,3,disʼiw,disʼiw,Verb,drop and get pointed
1754,*dišamat,dišamáʔ,dišamáʔ,,3,dišamaʔ,dišamaʔ,,
1755,*diša·m,dišamʔ´,dišamʔ´,,3,dišamʔ,dišamʔ,Verb,slam something down
1756,*dišukʼuṭ,,dišukʼúʔ,,3,,dišukʼuʔ,,
1757,*ditaṭ,ditáʔ,ditáʔ,,3,ditaʔ,ditaʔ,Verb,fall and twist
1758,*ditayʔta,dihtáyʔtaw,ditáyʔtaw,,2,dihtayʔtaw,ditayʔtaw,,
1759,*ditehyi,ditéhyiw,ditéhyiw,,3,ditehyiw,ditehyiw,,
1760,*ditilhla,ditílhlaw,ditílhlaw,,3,ditilhlaw,ditilhlaw,Verb,drop and break apart something brittle
1761,*ditʼac,ditʼáʔ,ditʼáʔ,,3,ditʼaʔ,ditʼaʔ,,
1762,*diṭa·m,diṭamʔ´,diṭamʔ´,,3,diṭamʔ,diṭamʔ,Verb,fall and twist
1763,*diṭet,,diṭéʔ,,3,,diṭeʔ,,
1764,*diṭibit,diṭibíʔ,diṭibíʔ,,3,diṭibiʔ,diṭibiʔ,,
1765,*diṭidiṭi,diṭidíṭiw,diṭidíṭiw,,3,diṭidiṭiw,diṭidiṭiw,Reduplicating Verb,turn in place
1766,*diʔbi,diʔbíw,diʔbíw,,3,diʔbiw,diʔbiw,Verb,lift off?
1767,*diʔbola·tad,diʔbolá·tadu,diʔbolá·tadu,,3,diʔbola·tadu,diʔbola·tadu,,
1768,*diʔbolh,diʔbólʔ,diʔbólʔ,,3,diʔbolʔ,diʔbolʔ,Verb,hide oneself
1769,*diʔboqʼ,diʔbóʔ,diʔbóʔ,,3,diʔboʔ,diʔboʔ,Verb,one broken in two
1770,*diʔcʼabatad,diʔcʼabá·tadu,diʔcʼabátadu,,3,diʔcʼaba·tadu,diʔcʼabatadu,,
1771,*diʔcʼanh,diʔcʼánʔ,diʔcʼánʔ,,3,diʔcʼanʔ,diʔcʼanʔ,Noun,do third part of feather dance
1772,*diʔcʼaʔcʼa,diʔcʼáʔcʼaw,diʔcʼáʔcʼaw,,3,diʔcʼaʔcʼaw,diʔcʼaʔcʼaw,Reduplicating Verb,"lean, bend over ??"
1773,*diʔcʼenhma,diʔcʼénmaw,diʔcʼénhmaw,,2,diʔcʼenmaw,diʔcʼenhmaw,Verb,lay across?
1774,*diʔcʼet,diʔcʼéʔ,diʔcʼéʔ,,3,diʔcʼeʔ,diʔcʼeʔ,Verb,break off pieces by dropping
1775,*diʔcʼetad,diʔcʼetá·du,diʔcʼetá·du,,3,diʔcʼeta·du,diʔcʼeta·du,,
1776,*diʔcʼiʔcʼi,diʔcʼíʔcʼiw,diʔcʼíʔcʼiw,,3,diʔcʼiʔcʼiw,diʔcʼiʔcʼiw,Reduplicating Verb,make hole by sinking
1777,*diʔcʼolhcicʼ,diʔcʼólhciʔ,diʔcʼólhciʔ,,3,diʔcʼolhciʔ,diʔcʼolhciʔ,Verb,fall off
1778,*diʔcʼoqʰot,diʔcʼóqʰoʔ,diʔcʼoqʰóʔ,,2,diʔcʼoqʰoʔ,diʔcʼoqʰoʔ,Verb,remove piece by dropping
1779,*diʔcʼoʔcʼo,diʔcʼóʔcʼow,diʔcʼóʔcʼow,,3,diʔcʼoʔcʼow,diʔcʼoʔcʼow,Reduplicating Verb,trim ends of long hair
1780,*diʔcʼuʔcʼu,diʔcʼúʔcʼuw,diʔcʼúʔcʼuw,,3,diʔcʼuʔcʼuw,diʔcʼuʔcʼuw,Reduplicating Verb,fall on and break
1781,*diʔdayac,diʔdayáʔ,diʔdayáʔ,,3,diʔdayaʔ,diʔdayaʔ,Verb,fall and miss
1782,*diʔdi,diʔdíw,diʔdíw,,3,diʔdiw,diʔdiw,Verb of Movement,crack by dropping
1783,*diʔkʼanh,diʔkʼánʔ,diʔkʼánʔ,,3,diʔkʼanh-,diʔkʼanʔ,Verb,fall caught in crack
1784,*diʔkʼidikʼitad,diʔkʼidíkʼita·du,diʔkʼidíkʼita·du,,3,diʔkʼidikʼita·du,diʔkʼidikʼita·du,,
1785,*diʔkʼiʔkʼi,diʔkʼíʔkʼiw,diʔkʼíʔkʼiw,,3,diʔkʼiʔkʼiw,diʔkʼiʔkʼiw,Reduplicating Verb,be almost worn through by gravity
1786,*diʔkʼo,diʔkʼów,diʔkʼów,,3,diʔkʼow,diʔkʼow,Verb,fall and hit
1787,*diʔkʼol,diʔkʼólʔ,diʔkʼólʔ,,3,diʔkʼolʔ,diʔkʼolʔ,Verb,cut off many long projecting parts
1788,*diʔkʼolh,diʔkʼólʔ,diʔkʼólʔ,,3,diʔkʼolʔ,diʔkʼolʔ,Verb,fall over (nonlong)
1789,*diʔkʼoyad,diʔkʼoyá·du,diʔkʼoyá·du,,3,diʔkʼoya·du,diʔkʼoya·du,Verb,fall on scattered objects
1790,*diʔkʼu,diʔkʼúw,diʔkʼúw,,3,diʔkʼuw,diʔkʼuw,Verb,finish pruning or shearing
1791,*diʔlawʔci,diʔláwʔciw,diʔláwʔciw,,3,diʔlawʔciw,diʔlawʔciw,Verb,used to bed
1792,*diʔpʼanh,diʔpʼánʔ,diʔpʼánʔ,,3,diʔpʼanʔ,diʔpʼanʔ,Verb,drop and cover
1793,*diʔpʼodipʼotad,diʔpʼodípʼota·du,diʔpʼodípʼota·du,,3,diʔpʼodipʼota·du,diʔpʼodipʼota·du,,
1794,*diʔpʼoʔpʼoc,diʔpʼóʔpʼoʔ,diʔpʼóʔpʼoʔ,,3,diʔpʼoʔpʼoʔ,diʔpʼoʔpʼoʔ,Reduplicating Verb,everything fall out
1795,*diʔsʼaṭ,diʔsʼáʔ,diʔsʼáʔ,,3,diʔsʼaʔ,diʔsʼaʔ,Verb,bruise by falling
1796,*diʔsʼi,diʔsʼíw,diʔsʼíw,,3,diʔsʼiw,diʔsʼiw,Verb,pour and splash
1797,*diʔsʼoʔsʼo,diʔsʼóʔsʼow,diʔsʼóʔsʼow,,3,diʔsʼoʔsʼow,diʔsʼoʔsʼow,Reduplicating Verb,feel weight
1798,*diʔtʼemh,diʔtʼémʔ,diʔtʼémʔ,,3,diʔtʼemʔ,diʔtʼemʔ,Verb,put heavy thing on
1799,*diʔtʼentʼele,diʔtʼéntʼelew,diʔtʼéntʼelew,,3,diʔtʼentʼelew,diʔtʼentʼelew,Verb,crumple
1800,*diʔtʼeʔtʼe,diʔtʼéʔtʼew,diʔtʼéʔtʼew,,3,diʔtʼeʔtʼew,diʔtʼeʔtʼew,Verb,be close together
1801,*diʔṭiʔṭi,diʔṭíʔṭiw,diʔṭíʔṭiw,,3,diʔṭiʔṭiw,diʔṭiʔṭiw,Verb,fall on edge
1802,*diʔṭut,,diʔṭúʔ,,3,diʔṭuʔ,diʔṭuʔ,,
1803,*diʔṭʼaš,diʔṭʼáš,diʔṭʼáš,,3,diʔṭʼaš,diʔṭʼaš,Verb,drop and sink under
1804,*diʔṭʼubutʰqa,diʔṭʼubútʰqaw,diʔṭʼubútʰqaw,,3,diʔṭʼubutʰqaw,diʔṭʼubutʰqaw,Verb,almost fall but catch self
1805,diʔyo,diʔyo´,diʔyo´,,3,diʔyo,diʔyo,Adjective,move toward self
1806,*di·cʼid,di·cʼidú,dicʼi·du´,,4,di·cʼidu,dicʼi·du,Verb,"tell, say"
1807,*di·cʼiduwad,dicʼi·duwá·du,dicʼi·duwá·du,,4,dicʼi·duwa·du,dicʼi·duwa·du,Verb,go around holding
1808,*di·sqʰac,dí·sqʰaʔ,disqʰáʔ,1,1,di·sqʰaʔ,disqʰaʔ,Verb,ignore
1809,*dobol,dobólʔ,dobólʔ,,3,dobolʔ,dobolʔ,Verb,touch and twist fingers through
1810,*dobola·tad,dobolá·tadu,dobolá·tadu,,3,dobola·tadu,dobola·tadu,,
1811,*dobot,dobóʔ,dobóʔ,,3,doboʔ,doboʔ,,
1812,*dobotam,dobotámʔ,dobotámʔ,,3,dobotamʔ,dobotamʔ,,
1813,*dobo·l,dobolʔ´,dobolʔ´,,3,dobolʔ,dobolʔ,Verb,dig hole with finger
1814,*dobo·m,dobomʔ´,dobomʔ´,,3,dobomʔ,dobomʔ,Verb,"cover finger, or with fingers"
1815,*docohṭi,docóhṭiw,docóhṭiw,,3,docohṭiw,docohṭiw,,
1816,*docola·tad,docolá·tadu,docolá·tadu,,3,docola·tadu,docola·tadu,,
1817,*docot,docóʔ,docóʔ,,3,docoʔ,docoʔ,,
1818,*doco·l,docolʔ´,docolʔ´,,3,docolʔ,docolʔ,Verb,fluff out using fingers
1819,*doco·ṭic,doco·ṭíʔ,doco·ṭíʔ,,4,doco·ṭiʔ,doco·ṭiʔ,Verb,expose with finger
1820,*docʼo·,docʼow´,docʼow´,,3,docʼow,docʼow,Verb,expose self with finger
1821,*docʼo·m,docʼomʔ´,docʼomʔ´,,3,docʼomʔ,docʼomʔ,Verb,break off with fingers
1822,*docʼo·q,docʼoʔ´,docʼoʔ´,,3,docʼoʔ,docʼoʔ,Verb,stick something into finger
1823,*docʼo·ṭ,docʼoʔ´,docʼoʔ´,,3,docʼoʔ,docʼoʔ,Verb,pick out waste parts
1824,*dohcʰodocʰotad,,dohcʰodócʰota·du,,3,,dohcʰodocʰota·du,,
1825,*dohcʰodohcʰoc,dohcʰodóhcʰoʔ,dohcʰodóhcʰoʔ,,3,dohcʰodohcʰoʔ,dohcʰodohcʰoʔ,Reduplicating Verb,be worn down with fingers
1826,*dohcʰohcʰoc,dohcʰóhcʰoʔ,dohcʰóhcʰoʔ,,3,dohcʰohcʰoʔ,dohcʰohcʰoʔ,Reduplicating Verb,tear up to pieces
1827,*dohcʰohcʰoc,dohcʰóhcʰoʔ,dohcʰóhcʰoʔ,,3,dohcʰohcʰoʔ,dohcʰohcʰoʔ,Verb,wear down
1828,*dohcʰot,dohcʰóʔ,dohcʰóʔ,,3,dohcʰoʔ,dohcʰoʔ,Verb,be unable to finish
1829,*dohkodohko,,dohkodóhkow,,3,,dohkodohkow,Verb,trot around
1830,*dohkodohkom,dohkodóhkom,dohkodóhkomʔ,,3,dohkodohkomʔ,dohkodohkomʔ,,
1831,*dohkodohkotad,dohkodókota·du,dohkodóhkota·du,,3,dohkodokota·du,dohkodohkota·du,,
1832,dohkodohko·du,dohkodóhko·du,dohkodóhko·du,,3,dohkodohko·du,dohkodohko·du,Noun,trot
1833,*dohkolhma,dohkólhmaw,dohkólhmaw,,3,dohkolhmaw,dohkolhmaw,Verb,loosen by fiddling
1834,*dohkotʰci,dohkótʰciw,dohkótʰciw,,3,dohkotʰciw,dohkotʰciw,Verb,rub down to nothing with finger
1835,*dohkʰo,dohkʰów,dohkʰów,,3,dohkʰow,dohkʰow,Verb,grab quick
1836,*dohlo,dohlów,dohlów,,3,dohlow,dohlow,Verb,be cleaned by brushing off with finger
1837,*dohlohlo,dohlóhlow,dohlóhlow,,3,dohlohlow,dohlohlow,Reduplicating Verb,flop finger
1838,*dohlokʼci,,dohlókʼciw,,3,,dohlokʼciw,Verb,fold (chair)
1839,*dohlo·m,dohlomʔ´,dohlomʔ´,,3,dohlomʔ,dohlomʔ,Verb,break in half with fingers
1840,*dohmoy,dohmóyʔ,dohmóyʔ,,3,dohmoyʔ,dohmoyʔ,Verb,work with fingers
1841,*dohpo,dohpów,dohpów,,3,dohpow,dohpow,Verb,when poked with finger to give way with quiver
1842,*dohpola·tad,dohpolá·tadu,dohpolá·tadu,,3,dohpolha·ta·du,dohpola·tadu,,
1843,*dohpolh,dohpólʔ,dohpólʔ,,3,dohpolʔ,dohpolʔ,Verb,make liquid gush with finger
1844,*dohponpoloc,dohpónpoloʔ,dohpónpoloʔ,,3,dohponpoloʔ,dohponpoloʔ,Verb,finger badly swollen
1845,*dohqodohqo,dohqodóhqow,dohqodóhqow,,3,dohqodohqow,dohqodohqow,Reduplicating Verb,"fail, give up"
1846,*dohqoyqa,dohqó·qaw,dohqóyqaw,,2,dohqo·qaw,dohqoyqaw,Verb,bend or sprain finger
1847,*dohqoyʔci,dohqóyʔciw,dohqóyʔciw,,3,dohqoyʔciw,dohqoyʔciw,Verb,suddenly bend or sprain finger
1848,*dohqoyʔdohqoyʔ,dohqóyʔdohqoyʔ,dohqóyʔdohqoyʔ,,3,dohqoyʔdohqoyʔ,dohqoyʔdohqoyʔ,Reduplicating Verb,keep bending finger
1849,*dohqo·ci,dohqó·ciw,dohqo·cíw,,2,dohqo·ciw,dohqo·ciw,Verb,poke with finger
1850,*dohqʰolh,dohqʰólʔ,dohqʰólʔ,,3,dohqʰolʔ,dohqʰolʔ,Verb,make liquid spurt with fingers
1851,*dohsom,dohsómʔ,dohsómʔ,,3,dohsomʔ,dohsomʔ,Verb,mess up with finger
1852,*dohšohli,,dohšóhliw,,3,,dohšohliw,,
1853,*dohšohšo,dohšóhšow,dohšóhšow,,3,dohšohšow,dohšohšow,Reduplicating Verb,come loose with fingers
1854,*dohšolh,dohšólʔ,dohšólʔ,,3,dohšolʔ,dohšolʔ,Verb,come loose with finger
1855,*dohšon,dohšónʔ,dohšónʔ,,3,dohšonʔ,dohšonʔ,Verb,rub fingers on something to make sore or swollen
1856,*dohtoš,dohtóš,dohtóš,,3,dohtoš,dohtoš,Verb,remove part of surface with finger
1857,*dohtʰohtʰoc,dohtʰóhtʰoʔ,dohtʰóhtʰoʔ,,3,dohtʰohtʰoʔ,dohtʰohtʰoʔ,Verb,strike
1858,*dohṭodohṭo,dohṭodóhṭow,dohṭodóhṭow,,3,dohṭodohṭow,dohṭodohṭow,Reduplicating Verb,wear away on inside
1859,*dohṭoy,dohṭóyʔ,dohṭóyʔ,,3,dohṭoyʔ,dohṭoyʔ,Verb,shake and knock over with fingers
1860,dokokomʔ,dokokómʔ,dokokómʔ,,3,dokokomʔ,dokokomʔ,Noun,turn with finger
1861,*doko·lma,dokolmáw,dokolmáw,,3,dokolmaw,dokolmaw,,
1862,*doko·lqa,dokolqáw,dokolqáw,,3,dokolqaw,dokolqaw,Verb,turn with finger
1863,doktoro,dóktoro,doktoró,"0,1",1,doktoro,doktoro,Noun,fear that some undesired course of events to be likely
1864,*dokʼohli,dokʼóhliw,dokʼóhliw,,3,dokʼohliw,dokʼohliw,,
1865,*dokʼohni,dokʼóhniw,dokʼóhniw,,3,dokʼohniw,dokʼohniw,,
1866,*dokʼohyala,,dokʼóhyalaw,,3,,dokʼohyalaw,,
1867,*dokʼohyibic,dokʼóhyibiʔ,dokʼóhyibiʔ,,3,dokʼohyibiʔ,dokʼohyibiʔ,,
1868,*dokʼot,dokʼóʔ,dokʼóʔ,,3,dokʼoʔ,dokʼoʔ,,
1869,*dokʼo·l,dokʼolʔ´,dokʼolʔ´,,3,dokʼolʔ,dokʼolʔ,Verb,grind with finger
1870,*dokʼo·ṭ,dokʼoʔ´,dokʼoʔ´,,3,dokʼoʔ,dokʼoʔ,Verb,clean out with finger
1871,*dokʼo·ṭatad,dokʼoṭá·tadu,dokʼoṭa·tadú,,4,dokʼoṭa·tadu,dokʼoṭa·tadu,,
1872,*dokʼo·yala,dokʼoya·láw,dokʼoya·láw,,4,dokʼoya·law,dokʼoya·law,Verb,tip down with fingers
1873,*dokʼo·yibic,dokʼoyi·bíʔ,dokʼoyi·bíʔ,,4,dokʼoyi·biʔ,dokʼoyi·biʔ,,
1874,*dolodolo,dolodólow,dolodólow,,3,dolodolow,dolodolow,Reduplicating Verb,make wet with fingers
1875,dolo·mʔ,dolomʔ´,dolomʔ´,,3,dolomʔ,dolomʔ,Noun,hold hand out over something
1876,*domci,,dómciw,,0,,domciw,Verb,put hand
1877,dono,dono´,dono´,,3,dono,dono,Noun,dig out several with fingers
1878,*doqʰo·c,,doqʰoʔ´,,3,,doqʰoʔ,Verb,dig out one with fingers
1879,*dosokʼot,dosokʼótʔ,dosokʼóʔ,,3,dosokʼotʔ,dosokʼoʔ,,
1880,*dosʼotʰqo,dosʼótʰqow,dosʼótʰqow,,3,dosʼotʰqow,dosʼotʰqow,,
1881,*došohli,došohlíw,došóhliw,,3,došohliw,došohliw,,
1882,*doṭo·l,doṭolʔ´,doṭolʔ´,,3,doṭolʔ,doṭolʔ,Verb,try to touch
1883,*dowa·duc,dowá·duʔ,dowá·duʔ,,0,dowa·duʔ,dowa·duʔ,Verb,avoid
1884,*dowoṭ,dowóʔ,dowóʔ,,3,dowoʔ,dowoʔ,Verb,pinch off
1885,*doʔcʼowad,doʔcʼowá·du,doʔcʼowá·du,,3,doʔcʼowa·du,doʔcʼowa·du,,
1886,*doʔcʼoʔcʼo,doʔcʼóʔcʼow,doʔcʼóʔcʼow,,3,doʔcʼoʔcʼow,doʔcʼoʔcʼow,Reduplicating Verb,bend at middle with finger
1887,*doʔkʰošci,doʔkʰóšciw,doʔkʰóšciw,,3,doʔkʰošciw,doʔkʰošciw,Verb,turn up sides (weaving)
1888,*doʔkʰošcicʼ,doʔkʰóšciʔ,doʔkʰóšciʔ,,3,doʔkʰošciʔ,doʔkʰošciʔ,Verb,bend own hand at wrist
1889,*doʔkʼo,doʔkʼów,doʔkʼów,,3,doʔkʼow,doʔkʼow,Verb,tap once with finger
1890,*doʔkʼolh,doʔkʼólʔ,doʔkʼólʔ,,3,doʔkʼolʔ,doʔkʼolʔ,Verb,knock over with fingers
1891,*doʔkʼonh,doʔkʼónʔ,doʔkʼónʔ,,3,doʔkʼonʔ,doʔkʼonʔ,Verb,hold protectively in fingers
1892,*doʔkʼoyacʼ,,doʔkʼoyáʔ,,3,,doʔkʼoyaʔ,,
1893,*doʔkʼoyad,doʔkʼoyá·du,doʔkʼoyá·du,,3,doʔkʼoyʔ,doʔkʼoya·du,Verb,pry up with fingers
1894,*doʔkʼoʔkʼoc,doʔkʼóʔkʼoʔ,doʔkʼóʔkʼoʔ,,3,doʔkʼoʔkʼoʔ,doʔkʼoʔkʼoʔ,Reduplicating Verb,wear down with finger
1895,doʔlo,doʔlo´,doʔlo´,,3,doʔlo,doʔlo,Adjective,give luck to
1896,*doʔolay,,doʔoláyʔ,,3,,doʔolayʔ,Verb,give good luck to
1897,*doʔot,doʔóʔ,doʔóʔ,,3,doʔoʔ,doʔoʔ,Verb,present
